127.0.0.1 - - [21/Feb/2021:01:19:42 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:19:43 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:19:44 +0700] "GET /home HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:05 +0700] "GET /login HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:05 +0700] "GET /js.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:13 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:16 +0700] "GET /admin/home HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:17 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:17 +0700] "GET /template/sweetalert/sweetalert2.min.css HTTP/1.1" 200 26759
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:17 +0700] "GET /template/sweetalert/sweetalert2.min.js HTTP/1.1" 200 25121
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:17 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:23 +0700] "GET /admin/new/list?page=1 HTTP/1.1" 200 12205
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:23 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:23 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:26 +0700] "GET /admin/new/list?page=2 HTTP/1.1" 200 11175
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:26 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:26 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:32 +0700] "DELETE /api/new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:32 +0700] "GET /admin/new/list?page=1&message=deleteSuccess HTTP/1.1" 200 12205
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:33 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:33 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:34 +0700] "GET /admin/new/list?page=2 HTTP/1.1" 200 10664
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:34 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:35 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:37 +0700] "GET /admin/new/list?page=1 HTTP/1.1" 200 12205
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:37 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Feb/2021:01:22:37 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
