127.0.0.1 - - [27/Feb/2021:15:01:07 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:08 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:08 +0700] "GET /home HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:08 +0700] "GET /template/css/style.css HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:08 +0700] "GET /template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 181365
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:09 +0700] "GET /template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:09 +0700] "GET /template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:10 +0700] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:11 +0700] "GET /login HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:11 +0700] "GET /js.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:11 +0700] "GET /template/login/login.css HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /admin/home HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/sweetalert/sweetalert2.min.css HTTP/1.1" 200 26759
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 35194
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/css/ace.min.css HTTP/1.1" 200 477597
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 134574
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/sweetalert/sweetalert2.min.js HTTP/1.1" 200 25121
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:18 +0700] "GET /template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4000
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 102051
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36669
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85663
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39719
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/ace.min.js HTTP/1.1" 200 49989
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:19 +0700] "GET /template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241801
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:25 +0700] "GET /admin/new/list?page=1 HTTP/1.1" 200 13005
0:0:0:0:0:0:0:1 - - [27/Feb/2021:15:01:25 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 404 1047
